blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueBarons,blueHordes,blueTowersDestroyed,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff
1,56,29,0,23,14,41,2,0,1,3,5,119,7977,10013
1,76,13,0,50,40,89,2,0,2,1,8,171,10918,18346
1,69,20,1,40,7,60,3,1,0,3,10,100,17138,16559
0,90,45,1,18,35,24,1,1,0,3,3,114,-5759,-5409
1,61,23,1,22,14,46,3,0,1,3,7,70,8594,8753
0,44,10,0,21,28,34,0,0,0,0,2,70,-7801,-6572
1,87,33,1,43,29,73,3,1,1,3,10,174,11020,11879
1,56,17,0,23,7,35,2,0,0,1,5,125,13871,10762
1,34,17,1,38,28,66,2,0,2,1,10,123,8883,13384
1,62,24,1,41,13,56,2,1,1,3,10,87,19168,15488
1,57,21,1,53,16,96,3,0,1,1,10,109,12776,16217
0,74,26,1,24,40,39,0,0,0,1,3,117,-12222,-10435
0,50,8,1,26,32,39,0,0,0,0,0,77,-12906,-12276
0,29,6,0,11,32,15,0,0,0,0,0,80,-15976,-8978
0,107,21,1,26,47,50,2,1,0,6,7,142,-7807,-15851
1,45,19,1,26,16,52,2,0,0,1,5,95,4668,6401
0,68,15,0,24,37,46,1,0,1,4,5,114,-2314,-3012
1,74,23,1,43,21,78,4,1,1,3,9,137,10641,12165
1,65,41,1,31,17,56,1,0,1,6,6,87,7086,12876
0,58,13,0,17,24,45,0,0,0,3,2,109,-8026,-7091
1,72,27,1,27,21,46,2,1,1,6,9,113,10905,10880
1,39,8,1,17,7,31,0,1,0,6,7,91,7048,5250
1,97,30,1,43,30,86,3,0,1,3,7,121,1184,6634
0,35,7,0,9,20,9,0,0,0,1,0,72,-10249,-4825
0,78,22,0,28,33,44,3,1,0,2,1,106,-12288,-10606
0,73,27,0,25,41,41,1,0,0,3,1,127,-10976,-13086
1,39,11,0,37,19,46,2,1,1,5,8,98,8357,12318
0,71,22,0,15,31,30,1,0,0,0,3,136,-11145,-9243
0,62,27,0,19,27,35,2,1,0,0,2,107,-7323,-6708
1,135,64,1,24,23,54,1,1,1,3,11,151,6687,2077
0,88,28,1,29,43,62,2,1,0,2,4,155,-11180,-7515
0,43,7,1,16,22,14,0,1,0,0,4,108,-5455,-9306
1,88,42,1,37,29,82,2,1,2,2,11,101,13096,14167
1,90,30,1,39,31,50,2,1,1,6,10,153,9883,6389
0,43,12,0,7,24,8,1,0,0,6,1,78,-12784,-12901
0,38,13,0,11,21,14,0,0,0,3,0,95,-10988,-7266
0,67,26,1,37,46,64,0,1,0,6,4,119,-8167,-11768
0,59,11,0,18,33,25,0,1,0,2,3,132,-10628,-14327
1,83,26,0,36,40,54,2,1,0,3,10,151,4059,6474
0,70,19,0,22,36,50,0,0,0,3,3,99,-12643,-15084
1,38,11,1,17,11,29,1,1,0,1,0,66,2358,2391
0,36,5,0,4,23,4,0,0,0,3,0,72,-10491,-6909
